Job Seeker ID,Surname,Given Name,Date of Birth,Next Provider Appointment,Allowance Type,Job Plan Status,Job Plan Date,Contact Number,Job Seeker Tags,Age,Client Group,Client Note,Commencement Date,Contract Type,Early School Leaver,Exit Date,Group By,Job Search,Managed By,NEIS Referred,Outcome,Period Of Service (weeks),Phase,Placement Status,Postcode,Priority,Referral Date,Seasonal Work Eligibility,Specialist Type,Stream,Subcontractor,Suburb,Suspension Reason,Time in Program (weeks),Time with Provider (weeks),Time with Site (weeks),Outstanding non-compliance event,Demerit/ Penalty Count
1261060,DOEDEE,EPIFANIA,23/09/2001,,Youth Allowance,Approved,30/08/2019,491555555,,18,ATSI,,28/08/2019,jobactive,,,,20,(DBXSFP74),,,0,Work for the Dole,Commenced,4868,0,6/08/2019,,All Client Types,Stream B,0,WOREE,,16,16,13,,
1262630,NOKE,SHAFI,1/01/2001,,Youth Allowance,No Job Plan,,491555555,,19,ATSI,,,jobactive,,,,0,(DBXSFP74),,,0,Work for the Dole,Pending,4869,0,16/08/2019,,All Client Types,Stream B,0,BENTLEY PARK,,15,15,0,,
1277470,CAROLAN,SWETHA,28/11/2001,,Youth Allowance,Approved,1/07/2019,491555555,,18,No Client Group,,23/11/2018,jobactive,,,,15,(DBXSFP74),,,0,Case Management,Commenced,4869,0,19/11/2018,,All Client Types,Stream B,0,EDMONTON,,53,53,53,,
1282910,BITAR,DERINDA,17/02/1992,,Newstart Allowance,Approved,13/08/2019,491555555,,27,ATSI,CustServAdmin,30/11/2018,jobactive,,,,15,(JD3304),,,0,Case Management,Commenced,4868,0,28/11/2018,,All Client Types,Stream A,0,WHITE ROCK,,52,52,52,,
1317740,HUTCHENCE,MYKAL,18/01/2000,,Youth Allowance,Approved,17/05/2019,491555555,,20,ATSI,,,jobactive,,,,10,(DBXSFP74),,,0,Case Management,Suspended,4869,0,22/11/2018,,All Client Types,Stream not determined,0,EDMONTON,Major Personal Crisis Exemption,28,41,14,,
1352190,MAURER,GWENDOLYN,26/05/1999,,Parenting Payment Single,Approved,1/07/2019,491555555,,20,Principal Carer Parent,cleaner - HK,25/03/2019,jobactive,,,,3,(XJFZTC64),,,0,Case Management,Commenced,4870,0,21/03/2019,,All Client Types,Stream B,0,MANOORA,,36,36,35,,
1405180,RAJAPAKSHE,AYANTU,15/12/2001,,Youth Allowance,Approved,26/08/2019,491555555,,18,No Client Group,,5/06/2019,jobactive,Yes,,,20,(DBXSFP74),,,0,Case Management,Commenced,4870,0,17/02/2019,,All Client Types,Stream B,0,KANIMBLA,,40,40,25,,
1505460,BRIODY,HISHAM,31/07/2001,,Youth Allowance,Approved,28/05/2019,,,18,ATSI,,28/05/2019,jobactive,Yes,,,20,(DBXSFP74),,,0,Case Management,Commenced,4870,0,27/05/2019,,All Client Types,Stream B,0,MANUNDA,,26,26,26,,
1514190,LATTO,NIMA,11/05/1997,,Newstart Allowance,Approved,11/02/2019,491555555,,22,No Client Group,,14/12/2018,jobactive,,,,1,(CW2761),,,0,Case Management,Commenced,4868,0,12/12/2018,,All Client Types,Stream B,0,BAYVIEW HEIGHTS,,48,50,50,,
1538600,KEON,BINA,2/11/2000,,Youth Allowance,Approved,21/06/2019,491555555,,19,No Client Group,Study Childcare,17/12/2018,jobactive,,,,8,(XPZSWK36),,,0,Case Management,Commenced,4870,0,14/12/2018,,All Client Types,Stream A,0,KANIMBLA,,40,40,39,,
1680700,TILLETT,KARIM,25/06/1978,,Newstart Allowance,Approved,2/01/2019,******,,41,No Client Group,Tafe SEE,2/01/2019,jobactive,,,,5,(JD3304),,,0,Case Management,Commenced,4870,0,20/12/2018,,All Client Types,Stream A,0,EARLVILLE,,49,49,47,,
1688360,BRAUNBERGER,MIKEAL,5/05/2001,,Youth Allowance,Approved,9/08/2019,491555555,,18,No Client Group,,8/08/2019,jobactive,,,,8,(CW2761),,,0,Case Management,Commenced,4870,0,8/08/2019,,All Client Types,Stream A,0,MANOORA,,45,45,16,,
1742280,MURIC,FAIMAFILI,10/09/1966,,ABSTUDY - Secondary/Tertiary,Approved,27/08/2019,491555555,,53,ATSI Principal Carer Parent,,27/08/2019,jobactive,,,,15,(BO2626),,,0,Self Service and Job Activity,Commenced,4870,0,20/08/2019,,All Client Types,Stream A Volunteer,0,WESTCOURT,,14,14,13,,
1752650,DEDE,ADRINA,27/10/1988,,Parenting Payment Single,Approved,7/06/2019,491555555,,31,Principal Carer Parent,G ADMIN L C,13/03/2019,jobactive,,,,12,(BFTDCM93),,,0,Case Management,Commenced,2612,0,11/03/2019,,All Client Types,Stream B,0,BRADDON,,31,37,37,,
1763760,BRAUN,BASANTA,25/05/2001,,Youth Allowance,Approved,27/07/2019,491555555,,18,No Client Group,GRN DL Anything,21/03/2019,jobactive,,,,5,(XPZSWK36),,,0,Case Management,Commenced,4865,0,7/03/2019,,All Client Types,Stream A,0,GORDONVALE,,45,38,36,,
1826480,KENSELL,DOINA,21/06/1997,,Newstart Allowance,Approved,19/06/2019,491555555,,22,No Client Group,,19/06/2019,jobactive,,,,12,(XPZSWK36),,,0,Case Management,Suspended,4870,0,4/06/2019,,All Client Types,Stream A,0,PARRAMATTA PARK,Temporary Medical Incapacity Exemption,30,29,23,,
1826790,TOWNER,AWIL,8/03/2002,,,Approved,24/07/2019,491555555,,17,No Client Group,,24/07/2019,jobactive,,,,20,(BO2626),,,0,Self Service and Job Activity,Commenced,4869,0,18/07/2019,,All Client Types,Stream A,0,EDMONTON,,19,19,18,,
1834170,ZURCAS,THI-DUNG,3/04/1996,,Newstart Allowance,Approved,12/04/2019,491555555,,23,No Client Group,RetCustServ,12/04/2019,jobactive,,,,20,(XPZSWK36),,,0,Case Management,Commenced,4868,0,14/01/2019,,All Client Types,Stream A,0,WOREE,,45,45,33,,
1851520,GALLARD,JI HYE,10/10/2000,,Youth Allowance,Approved,26/07/2019,491555555,,19,No Client Group,Grn wrk kitchen,16/01/2019,jobactive,,,,10,(XPZSWK36),,,0,Case Management,Commenced,4870,0,14/01/2019,,All Client Types,Stream A,0,MOOROOBOOL,,45,45,45,,
1871070,YAGHOUBPOUR,IOANIS,27/04/2001,,Youth Allowance,No Job Plan,,491555555,,18,No Client Group,,,jobactive,Yes,,,0,(DBXSFP74),,,0,Work for the Dole,Pending,4868,0,6/08/2019,,All Client Types,Stream B,0,MOUNT SHERIDAN,,16,16,0,,
1876690,YUKSEL,JAKOV,21/03/2000,,Youth Allowance,No Job Plan,,491555555,,19,ATSI,,,jobactive,Yes,,,0,(DBXSFP74),,,0,Case Management,Pending,4870,0,16/08/2019,,All Client Types,Stream B,0,MOOROOBOOL,,15,15,0,,
1877600,ZENGIN,HANNO,24/09/2001,,Youth Allowance,No Job Plan,,491555555,,18,No Client Group,,30/07/2019,jobactive,,,,20,(XPZSWK36),,,0,Case Management,Commenced,4865,0,22/07/2019,,All Client Types,Stream A,0,GORDONVALE,,45,45,25,,
1906480,BIONDI,HOWELL,23/04/1997,,Carer Payment,Approved,29/07/2019,491555555,,22,No Client Group,,,jobactive,,,Rendering,12,(JD3304),,,0,Self Service and Job Activity,Pending,4868,0,4/02/2019,,All Client Types,Stream A Volunteer,0,WHITE ROCK,Break in Service,42,42,40,,
1909930,POLIMOS,CARLISLE,22/08/1976,,Carer Payment,Approved,22/08/2019,491555555,,43,No Client Group,,,jobactive,,,,5,(XPZSWK36),,,0,Self Service and Job Activity,Pending,4870,0,21/01/2019,,All Client Types,Stream A Volunteer,0,MANUNDA,Break in Service,44,44,41,,
1941960,QUINLIVIAN,LOCH,4/06/1971,,Newstart Allowance,Pending,,491555555,,48,No Client Group,,,jobactive,,,,0,(WLJRND85),,,0,Self Service and Job Activity,Suspended,4868,0,10/04/2019,,All Client Types,Stream A,0,WHITE ROCK,Caring Responsibilities Exemption,26,33,0,,
1945640,STANSHALL,HEYDAR,26/12/1962,,Newstart Allowance,Approved,8/07/2019,491555555,,57,No Client Group,,24/01/2019,jobactive,,,,5,(XPZSWK36),,,0,Self Service and Job Activity,Commenced,4869,0,23/01/2019,,All Client Types,Stream A,0,EDMONTON,,33,34,33,,
1946570,OPITZ,HARMON,17/10/2000,,Youth Allowance,Approved,1/04/2019,491555555,,19,No Client Group,amb wrk hospit,24/01/2019,jobactive,,,,10,(XPZSWK36),,,0,Case Management,Commenced,4868,0,23/01/2019,,All Client Types,Stream A,0,WOREE,,44,44,44,,
1971640,FERRERA,DUILIO,30/12/1999,,Youth Allowance,Approved,5/07/2019,491555555,,20,No Client Group,Ls Grn,25/01/2019,jobactive,,,,12,(XPZSWK36),,,0,Case Management,Commenced,4870,0,25/01/2019,,All Client Types,Stream A,0,MOOROOBOOL,,44,44,44,,
1974430,SCHEEL,JHI,29/08/2000,,Youth Allowance,Approved,28/08/2019,491555555,,19,No Client Group,amb anything,31/01/2019,jobactive,,,,12,(XPZSWK36),,,0,Case Management,Commenced,4868,0,29/01/2019,,All Client Types,Stream A,0,MOUNT SHERIDAN,,43,43,43,,
1995380,IEREMIA,REHMAN,31/12/1978,,Newstart Allowance,Approved,30/08/2019,491555555,,41,Principal Carer Parent,,30/08/2019,jobactive,,,,1,(XJKQTP93),,,0,Case Management,Commenced,4870,0,18/04/2019,,All Client Types,Stream C,0,MOOROOBOOL,,26,32,13,,
1995410,ZACCHIGNA,LEIANA,21/06/2002,,Youth Allowance,Approved,19/08/2019,491555555,,17,ATSI,,18/07/2019,jobactive,Yes,,,15,(DBXSFP74),,,0,Case Management,Commenced,4869,0,3/07/2019,,All Client Types,Stream B,0,EDMONTON,,21,21,19,,
2006950,YOUDAN,YUJI,3/03/2001,,Youth Allowance,Approved,18/07/2019,491555555,,18,No Client Group,,18/04/2019,jobactive,,,,15,(DBXSFP74),,,0,Case Management,Commenced,4869,0,30/01/2019,,All Client Types,Stream B,0,EDMONTON,,42,42,42,,
2032680,CABAN,YAIR,25/12/2000,,Youth Allowance,Approved,5/08/2019,491555555,,19,No Client Group,"No DL, Apr carp",5/02/2019,jobactive,,,,12,(JD3304),,,0,Case Management,Commenced,4870,0,4/02/2019,,All Client Types,Stream A,0,EDGE HILL,,38,38,38,,
2035070,PELIZZARI,TINASHE,12/05/2000,,Youth Allowance,Approved,25/07/2019,491555555,,19,ATSI,,5/02/2019,jobactive,Yes,,,8,(DBXSFP74),,,0,Case Management,Commenced,4868,0,2/02/2019,,All Client Types,Stream B,0,WOREE,,42,42,42,,
2046040,FLORENCA,YA QIN,25/07/1995,,Newstart Allowance,Pending,,491555555,,24,No Client Group,,7/02/2019,jobactive,,,,20,(JD3304),,,0,Self Service and Job Activity,Commenced,4869,0,4/02/2019,,All Client Types,Stream A,0,EDMONTON,,37,42,42,,
2119970,PASTROVIC,SEREY,19/08/2001,,Youth Allowance,Approved,30/07/2019,491555555,,18,No Client Group,,16/07/2019,jobactive,,,,8,(CW2761),,,0,Case Management,Commenced,4868,0,15/07/2019,,All Client Types,Stream A,0,BAYVIEW HEIGHTS,,40,19,19,,
2127310,SANSOUR,EFSTATHIA,26/07/1961,,Newstart Allowance,Approved,15/08/2019,491555555,,58,No Client Group,,31/07/2019,jobactive,,,,15,(JD3304),,,0,Case Management,Commenced,4869,0,15/07/2019,,All Client Types,Stream A,0,BENTLEY PARK,,41,41,17,,
2187140,SWIRSKI,FELECIA,10/06/1980,,Newstart Allowance,Approved,23/04/2019,491555555,,39,No Client Group,SUs13.8.19,23/04/2019,jobactive,,,,8,(BO2626),,,0,Self Service and Job Activity,Suspended,4869,0,16/04/2019,,All Client Types,Stream A,0,BENTLEY PARK,Temporary Medical Incapacity Exemption,8,32,31,,
2188140,KOSTANTINIDIS,MATILDE,8/03/1959,,Newstart Allowance,Approved,22/05/2019,491555555,,60,No Client Group,sus May2020,22/02/2019,jobactive,,,wk polic ADM,0,(XPZSWK36),,,0,Self Service and Job Activity,Suspended,4868,0,18/02/2019,,All Client Types,Stream A,0,MOUNT SHERIDAN,Job Seeker Undertaking Part Time Work,13,40,40,,
2190640,BURNETTE,LI MEI,26/09/2001,,Youth Allowance,Approved,12/07/2019,491555555,,18,No Client Group,,27/03/2019,jobactive,,,,10,(TA2830),,,0,Case Management,Commenced,4869,0,14/03/2019,,All Client Types,Stream A,0,BENTLEY PARK,,38,37,35,,
2211940,MOISES,GONZALO,24/08/2000,,Youth Allowance,Approved,6/08/2019,491555555,,19,No Client Group,,6/08/2019,jobactive,Yes,,,20,(DBXSFP74),,,0,Case Management,Commenced,4868,0,29/04/2019,,All Client Types,Stream B,0,WOREE,,25,30,16,,
2220590,JAMSHIDI,DEMIR,30/08/1958,,Newstart Allowance,Approved,2/08/2019,491555555,,61,No Client Group,WRk concreting,25/02/2019,jobactive,,,,5,(XPZSWK36),,,0,Case Management,Commenced,4869,0,20/02/2019,,All Client Types,Stream A,0,EDMONTON,,40,40,39,,
2271680,RATTEY,CHARLENE,30/10/1993,,Newstart Allowance,Approved,28/02/2019,491555555,,26,No Client Group,,28/02/2019,jobactive,,,,12,(JD3304),,,0,Case Management,Commenced,4869,0,26/02/2019,,All Client Types,Stream A,0,EDMONTON,,39,39,39,,
2272460,DAHLGREN,ROBYN,5/05/2000,,Youth Allowance,Approved,5/03/2019,491555555,,19,No Client Group,Amb no DL Study,12/04/2019,jobactive,,,,15,(XPZSWK36),,,0,Case Management,Commenced,4868,0,26/02/2019,,All Client Types,Stream A,0,BAYVIEW HEIGHTS,,38,38,33,,
2291960,MENSAH,LAURREN,9/11/1999,,Youth Allowance,Approved,23/05/2019,491555555,,20,No Client Group,,23/05/2019,jobactive,Yes,,,0,(DBXSFP74),,,0,Case Management,Commenced,4869,0,9/05/2019,,All Client Types,Stream B,0,EDMONTON,,29,29,27,,
2349460,DEMIRBILEK,TUT,7/06/2001,,Youth Allowance,Approved,13/06/2019,491555555,,18,No Client Group,retail,13/06/2019,jobactive,,,,20,(BO2626),,,0,Case Management,Commenced,4870,0,3/06/2019,,All Client Types,Stream A,0,WESTCOURT,,25,25,24,,
2366490,CECCOMANCINI,PEMBE,25/02/1968,,Carer Payment,Approved,8/03/2019,491555555,,51,No Client Group,,,jobactive,,,MYOB,20,(JD3304),,,0,Self Service and Job Activity,Pending,4870,0,8/03/2019,,All Client Types,Stream A Volunteer,0,MANOORA,Break in Service,37,37,36,,
2369080,KARANTONIS,GURDIP,27/03/1956,,Carer Payment,Approved,15/03/2019,70109999,,63,No Client Group,,,jobactive,,,wk polic ADM,1,(BO2626),,,0,Self Service and Job Activity,Pending,4870,0,8/03/2019,,All Client Types,Stream A Volunteer,0,MANUNDA,Break in Service,13,35,33,,
2434050,KAING,KIAH,21/02/1955,,Newstart Allowance,Approved,18/03/2019,491555555,,64,No Client Group,,18/03/2019,jobactive,,,,10,(BO2626),,,0,Self Service and Job Activity,Suspended,4868,0,15/03/2019,,All Client Types,Stream A,0,WHITE ROCK,Temporary Medical Incapacity Exemption,8,37,36,,
2478100,PEARMAN,XIAOTING,10/07/1984,,Parenting Payment Single,Approved,21/03/2019,491555555,,35,Principal Carer Parent,,,jobactive,,,,0,(KL2610),,,0,Case Management,Suspended,4870,0,21/03/2019,,All Client Types,Stream B,0,MOOROOBOOL,Job Seeker Full Time Student,0,36,0,,
2549530,DRENNERT,HASSAN ALI,20/07/1999,,Youth Allowance,Approved,23/08/2019,491555555,,20,No Client Group,,8/05/2019,jobactive,Yes,,,10,(DBXSFP74),,,0,Case Management,Commenced,4868,0,1/04/2019,,All Client Types,Stream B,0,BAYVIEW HEIGHTS,,33,34,34,,
2588310,MIFSUD,SAMMY,5/09/2001,,Youth Allowance,Approved,24/06/2019,491555555,,18,ATSI,,24/06/2019,jobactive,,,,20,(BO2626),,,0,Case Management,Commenced,4870,0,20/05/2019,,All Client Types,Stream A,0,MANOORA,,27,27,22,,
2693809,LAVIDIS,JURO,15/03/1983,,Newstart Allowance,Approved,12/08/2019,491555555,,36,ATSI,,12/08/2019,jobactive,,,,8,(GWZCVP49),,,0,Case Management,Commenced,4870,0,2/08/2019,,All Client Types,Stream B,0,MOOROOBOOL,,17,17,15,,
2721190,GOLDTHORP,TERRELL,5/03/2001,,Youth Allowance,Approved,18/04/2019,491555555,,18,No Client Group,Study No DL Amb,18/04/2019,jobactive,,,,20,(XPZSWK36),,,0,Case Management,Commenced,4870,0,17/04/2019,,All Client Types,Stream A,0,MANUNDA,,32,32,32,,
2881790,SILLICK,CHARLITA,24/07/2000,,Youth Allowance,Pending,,,,19,No Client Group,,13/08/2019,jobactive,,,,18,(DBXSFP74),,,0,Case Management,Commenced,4870,0,29/04/2019,,All Client Types,Stream B,0,MOOROOBOOL,,28,28,28,,
2899940,AKEL,SOU,5/10/2002,,Youth Allowance,Approved,30/05/2019,491555555,,17,ATSI,,30/05/2019,jobactive,Yes,,,20,(DBXSFP74),,,0,Case Management,Commenced,4869,0,28/05/2019,,All Client Types,Stream B,0,EDMONTON,,26,26,26,,
3002980,TEAGLE,MAHBUBUR,12/01/1966,,,Approved,16/05/2019,491555555,,54,No Client Group,,16/05/2019,jobactive,,,,20,(XPZSWK36),,,0,Self Service and Job Activity,Commenced,4869,0,14/05/2019,,All Client Types,Stream A,0,EDMONTON,,28,28,28,,
3031920,POLY,LAURISSA,30/04/1997,,Newstart Allowance,Pending,,******,,22,ATSI,,25/07/2019,jobactive,,,,20,(BO2626),,,0,Case Management,Commenced,4868,0,10/06/2019,,All Client Types,Stream A,0,MOUNT SHERIDAN,,24,24,18,,
3047070,COMAN,ARIYA,1/09/2000,,Youth Allowance,Pending,,491555555,,19,No Client Group,,27/05/2019,jobactive,,,,20,(XPZSWK36),,,0,Case Management,Commenced,4870,0,20/05/2019,,All Client Types,Stream A,0,KANIMBLA,,27,27,26,,
3071560,HOSTETLER,RIVA,28/08/2000,,Youth Allowance,Approved,20/08/2019,491555555,,19,ATSI,,20/08/2019,jobactive,,,,20,(BO2626),,,0,Case Management,Commenced,4870,0,19/08/2019,,All Client Types,Stream A,0,MOOROOBOOL,,14,14,14,,
3106640,CHOU,BERNABE,21/04/1972,,Newstart Allowance,Approved,28/05/2019,491555555,,47,No Client Group,"Dl, QL FLor Lay",28/05/2019,jobactive,,,no car,12,(XPZSWK36),,,0,Self Service and Job Activity,Commenced,4869,0,27/05/2019,,All Client Types,Stream A,0,EDMONTON,,26,26,26,,
3111750,MACLOU,JOCK,15/04/1999,,Youth Allowance,No Job Plan,,491555555,,20,No Client Group,,,jobactive,,,,20,(WLJRND85),,,0,Case Management,Pending,4021,0,20/08/2019,,All Client Types,Stream A,0,KIPPA-RING,,20,14,0,,
3292750,WOLFGANG,VICHAI,25/07/1956,,Newstart Allowance,Approved,10/06/2019,491555555,,63,No Client Group,,10/06/2019,jobactive,,,,8,(BO2626),,,0,Self Service and Job Activity,Suspended,4868,0,6/06/2019,,All Client Types,Stream A,0,MOUNT SHERIDAN,Temporary Medical Incapacity Exemption,21,25,24,,
3296810,PUNTIGAM,FRED,21/03/2001,,Youth Allowance,Approved,21/12/2019,491555555,,18,No Client Group,,12/08/2019,jobactive,Yes,,,8,(DBXSFP74),,,0,Case Management,Commenced,4870,0,8/08/2019,,All Client Types,Stream B,0,WESTCOURT,,16,16,15,,
3352090,QUAI HOI,DARCEY,11/05/2001,,Youth Allowance,Approved,1/07/2019,491555555,,18,ATSI,,1/07/2019,jobactive,,,,10,(BO2626),,,0,Case Management,Commenced,4870,0,19/06/2019,,All Client Types,Stream A,0,BUNGALOW,,20,20,18,,
3353140,KAZMER,CICILIA,1/09/1999,,Youth Allowance,Approved,29/08/2019,******,,20,ATSI,,29/08/2019,jobactive,Yes,,,20,(DBXSFP74),,,0,Case Management,Commenced,4875,0,13/08/2019,,All Client Types,Stream B,0,THURSDAY ISLAND,,15,15,13,,
